time,seconds_elapsed,z,y,x
1682351608282556200,0.22155615234375,2.2995619773864746,-3.1381568908691406,2.0920560359954834
1682351608292565000,0.23156494140625,2.293910503387451,-3.1049880981445312,2.1358346939086914
1682351608302569500,0.241569580078125,2.312330722808838,-3.042717933654785,2.1987109184265137
1682351608312572700,0.25157275390625,2.3069868087768555,-3.0088915824890137,2.2423505783081055
1682351608322574300,0.26157421875,3.173895835876465,-3.308082103729248,2.1359853744506836
1682351608332575200,0.2715751953125,3.554104804992676,-3.5278067588806152,2.202178955078125
1682351608342576000,0.281576171875,3.8311195373535156,-3.684162139892578,2.2811880111694336
1682351608352576500,0.291576416015625,3.99991512298584,-3.847273349761963,2.4553353786468506
1682351608362576600,0.30157666015625,3.9253664016723633,-4.068248271942139,2.5986270904541016
1682351608372576800,0.31157666015625,3.610062599182129,-4.17900276184082,2.6611950397491455
1682351608382576600,0.32157666015625,3.080373764038086,-4.186893939971924,2.641221761703491
1682351608392576500,0.331576416015625,2.271514892578125,-4.083897113800049,2.6482913494110107
1682351608402576400,0.341576416015625,1.5440702438354492,-3.9038753509521484,2.6789438724517822
1682351608412576300,0.351576171875,0.8560886383056641,-3.706303596496582,2.7027933597564697
1682351608422576000,0.361576171875,0.2924203872680664,-3.643454074859619,2.8906126022338867
1682351608432575700,0.37157568359375,-0.1402754783630371,-3.679615020751953,3.1475815773010254
1682351608442575400,0.381575439453125,-0.3074307441711426,-3.7585134506225586,3.397611379623413
1682351608452575200,0.3915751953125,-0.07316970825195312,-3.752835750579834,3.6635260581970215
1682351608462574800,0.401574951171875,0.4066448211669922,-3.7757861614227295,3.747201919555664
1682351608472574500,0.411574462890625,0.8965187072753906,-3.91021728515625,3.727426528930664
1682351608482574000,0.421573974609375,1.288681983947754,-4.094470977783203,3.6107428073883057
1682351608492573700,0.43157373046875,1.6497297286987305,-4.218797206878662,3.41009259223938
1682351608502573000,0.441572998046875,1.7372169494628906,-4.255465984344482,3.1792659759521484
1682351608512572700,0.45157275390625,1.5930452346801758,-4.278869152069092,2.782752513885498
1682351608522572000,0.461572021484375,1.3600196838378906,-4.284026145935059,2.5466232299804688
1682351608532571400,0.4715712890625,1.0867786407470703,-4.236089706420898,2.2483890056610107
1682351608542570800,0.48157080078125,0.9331083297729492,-4.083778381347656,1.995692491531372
1682351608552570000,0.491570068359375,0.8236398696899414,-3.9265270233154297,1.822906255722046
1682351608562569500,0.501569580078125,0.774409294128418,-3.776170015335083,1.7424018383026123
1682351608572568800,0.51156884765625,0.7185506820678711,-3.611923933029175,1.738844871520996
1682351608582568000,0.52156787109375,0.5602741241455078,-3.441836357116699,1.8225741386413574
1682351608592567000,0.531567138671875,0.3600149154663086,-3.305321216583252,1.952648401260376
1682351608602566000,0.54156591796875,0.28298044204711914,-3.120638132095337,2.0004372596740723
1682351608612564700,0.551564697265625,0.2159276008605957,-2.9779233932495117,2.008519411087036
1682351608622563600,0.5615634765625,0.22469425201416016,-2.8257219791412354,2.013927459716797
1682351608632562400,0.5715625,0.28418779373168945,-2.734886646270752,2.0247788429260254
1682351608642561500,0.5815615234375,0.4104733467102051,-2.6836462020874023,2.097076892852783
1682351608652560400,0.591560302734375,0.5838284492492676,-2.6456167697906494,2.1791622638702393
1682351608662559200,0.601559326171875,0.797175407409668,-2.6308393478393555,2.246605634689331
1682351608672558000,0.61155810546875,0.9100780487060547,-2.636974334716797,2.3231539726257324
1682351608682557000,0.621556884765625,0.9831013679504395,-2.6596126556396484,2.3741650581359863
1682351608692555800,0.6315556640625,1.1414146423339844,-2.700612783432007,2.435900926589966
1682351608702554600,0.6415546875,1.4016408920288086,-2.727593421936035,2.4837446212768555
1682351608712553500,0.651553466796875,1.7348756790161133,-2.7637321949005127,2.4849772453308105
1682351608722552300,0.66155224609375,2.0103635787963867,-2.850250720977783,2.3934082984924316
1682351608732551200,0.67155126953125,2.260685920715332,-2.9362869262695312,2.243588447570801
1682351608742549800,0.6815498046875,2.305628776550293,-2.9455435276031494,2.071810483932495
